n_high,high_fraction,n_edges,components,significant_components,largest_component_size,largest_component_share,isolated_share,endpoint_distance,path_length,path_hops,connected_region_supported,replicate,threshold,radius,rsm_r2
3014,0.1507,33973,62,26,522,0.17319177173191772,0.0006635700066357001,0.4605943781477638,0.9188208191421181,14,False,9,0.8,0.1,0.8318577645066552
2042,0.1021,14682,197,26,49,0.023996082272282077,0.012732615083251714,0.04035130367287217,0.0415243418637166,2,False,9,0.85,0.04,0.8318577645066552
2042,0.1021,16868,150,32,125,0.06121449559255632,0.00930460333006856,0.17771527389776617,0.4176250481327617,9,False,9,0.85,0.06,0.8318577645066552
2042,0.1021,19768,103,29,213,0.10430950048971596,0.005876591576885406,0.20720108623235148,0.3845853025819743,6,False,9,0.85,0.08,0.8318577645066552
2042,0.1021,22062,54,29,439,0.2149853085210578,0.0014691478942213516,0.3765667553482776,0.6276812468375932,9,False,9,0.85,0.1,0.8318577645066552
1349,0.06745,8380,158,33,41,0.03039288361749444,0.021497405485544848,0.026051594945903023,0.026373492821312464,2,False,9,0.9,0.04,0.8318577645066552
1349,0.06745,9898,132,27,69,0.05114899925871016,0.017790956263899184,0.15307205115557063,0.21957467132411837,5,False,9,0.9,0.06,0.8318577645066552
1349,0.06745,11881,92,23,138,0.10229799851742032,0.01111934766493699,0.20594703036139625,0.2966016433104967,5,False,9,0.9,0.08,0.8318577645066552
1349,0.06745,13738,51,23,173,0.12824314306893997,0.0014825796886582653,0.3099508942681899,0.4068397967829047,6,False,9,0.9,0.1,0.8318577645066552
620,0.031,2934,95,38,27,0.043548387096774194,0.03064516129032258,0.024384829597324374,0.025163100382704688,2,False,9,0.95,0.04,0.8318577645066552
620,0.031,3502,82,36,41,0.06612903225806452,0.02903225806451613,0.11703311713208762,0.20566223075715456,4,False,9,0.95,0.06,0.8318577645066552
620,0.031,4368,66,28,69,0.11129032258064517,0.027419354838709678,0.19007065734839362,0.22969857288862122,5,False,9,0.95,0.08,0.8318577645066552
620,0.031,5005,44,21,129,0.20806451612903226,0.016129032258064516,0.3182878671588594,0.5018729207880369,7,False,9,0.95,0.1,0.8318577645066552
2856,0.1428,23311,215,22,116,0.04061624649859944,0.008053221288515405,0.09253349244730358,0.14045440270608237,6,False,10,0.8,0.04,0.8181647931402254
2856,0.1428,26297,153,28,214,0.07492997198879552,0.005252100840336135,0.19102840785172165,0.299980332145863,7,False,10,0.8,0.06,0.8181647931402254
2856,0.1428,29598,106,29,339,0.11869747899159663,0.0031512605042016808,0.2530240216405895,0.4006607590971908,8,False,10,0.8,0.08,0.8181647931402254
2856,0.1428,32163,58,25,399,0.13970588235294118,0.0017507002801120449,0.29128326185882913,0.4599890728966877,9,False,10,0.8,0.1,0.8181647931402254
1908,0.0954,13293,180,25,69,0.036163522012578615,0.011530398322851153,0.035199826692988684,0.052733722658425616,3,False,10,0.85,0.04,0.8181647931402254
1908,0.0954,15783,128,29,147,0.0770440251572327,0.006813417190775681,0.1947937488007979,0.24414105426248817,7,False,10,0.85,0.06,0.8181647931402254
1908,0.0954,18701,86,24,210,0.11006289308176101,0.003668763102725367,0.20720108623235148,0.38485366627697737,6,False,10,0.85,0.08,0.8181647931402254
1908,0.0954,20927,46,18,396,0.20754716981132076,0.0015723270440251573,0.325127857498542,1.0404328730233312,18,False,10,0.85,0.1,0.8181647931402254
1236,0.0618,7628,143,34,49,0.03964401294498382,0.013754045307443365,0.024043644878663995,0.02842787183689876,3,False,10,0.9,0.04,0.8181647931402254
1236,0.0618,9186,105,32,62,0.05016181229773463,0.00889967637540453,0.14903265891084896,0.21895713677093911,6,False,10,0.9,0.06,0.8181647931402254
1236,0.0618,11281,71,24,132,0.10679611650485436,0.0056634304207119745,0.20594703036139625,0.44845244190808153,7,False,10,0.9,0.08,0.8181647931402254
1236,0.0618,12942,44,20,210,0.16990291262135923,0.0024271844660194173,0.2650300075318322,0.4430634346518107,7,False,10,0.9,0.1,0.8181647931402254
662,0.0331,3476,100,43,37,0.055891238670694864,0.0256797583081571,0.03745105655229791,0.0380848742906067,2,False,10,0.95,0.04,0.8181647931402254
662,0.0331,4174,79,34,40,0.06042296072507553,0.022658610271903322,0.06405667123378866,0.06639320506876459,2,False,10,0.95,0.06,0.8181647931402254
662,0.0331,5499,57,23,77,0.1163141993957704,0.015105740181268883,0.19204030406079106,0.23583339386530117,4,False,10,0.95,0.08,0.8181647931402254
662,0.0331,6277,35,15,146,0.22054380664652568,0.004531722054380665,0.40793754006766214,0.6243098648598131,8,False,10,0.95,0.1,0.8181647931402254
3044,0.1522,26160,218,23,133,0.04369250985545335,0.008869908015768726,0.0883933711627187,0.14237790983375,7,False,11,0.8,0.04,0.8040034909404592
3044,0.1522,28682,164,26,285,0.09362680683311432,0.005913272010512484,0.2063892791936824,0.27583972040846505,7,False,11,0.8,0.06,0.8040034909404592
